@relation Main_SemC_17-18-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute A1 {TVGUIDE,MODMAT,MASSEY,KMART,ROSES,CHILDCRAFT,HANOVRHOUSE,HANOVRHOUS,GUIDEPOSTS,HOMESHOP,USCAV,COLORTIL,WARDS,TARGET,WOOLWORTH,AMES,WOOLWRTH,ABBYPRESS,BELKS,SEARS,JCPENNY,CENPURCH,BELK,TOYSRUS,ECKERD,JCP,COLORTILE,BESTPROD,HANHOUSE,HILLS,SHEPLERS,HANOVERHOUSE,AUSTADS,NATLWILDLIFE,JAMESWAY,BURDINES,EXXON,HOMESHOPPING,NTLWILDLIFE,CHILDWORLD,DOWNS,GLOBAL,CASUALLIVING,CAMPINGWORLD,OLDVILLAGESHOP,GLOBALEQUP,YIELDHOUSE,REI,ECKERDS,WALMART,DUNNS,MERVYNS,LAZARUS,GALLS,COMPETITIVEDGE,CASLIVING,BRENDLS,SERVMERCH,LURIAS,ABBEYPRESS,HANOVERHSE,ABBEY,GURNEY,ADCO,KIDSRUS,PENNEY,CVS,homeshop,kmart,hanoverhouse,homeshopping,bestprod,venture,modmat,target,jfk,colorfulimage,toysrus,eckerds,jcp,walmart,eckerd,best}
@attribute A2 numeric
@attribute A3 {YES,NO}
@attribute A4 {KEY,KeY,key}
@attribute A5 {YES,NO}
@attribute A6 {BENTON,UDDEHOLM}
@attribute A7 {GALLATIN,gallatin}
@attribute A8 {UNCOATED,COATED,coated,super,uncoated}
@attribute A9 {UNCOATED,COATED,COVER,coated,uncoated,cover}
@attribute A10 {NO,YES,no}
@attribute A11 {LINE,XYLOL,NAPTHA}
@attribute A12 {YES,NO,no,yes}
@attribute A13 {Motter94,WoodHoe70,Albert70,Motter70}
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 {TABLOID,CATALOG,SPIEGEL,catalog,tabloid,spiegel}
@attribute A17 {NorthUS,CANADIAN,CANAdiAN,SCANDANAVIAN,SouthUS,mideuropean}
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 {band,noband}

@data
BELK,35534,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,827,2,TABLOID,NorthUS,42,44,15,80,1.25,20,16.7,1300,49,34.3,0,2.5,0.2,40,40,110,noband
BELK,35534,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,827,9,TABLOID,NorthUS,45,44,15.5,75,1.25,20,14.1,1300,50.5,35.4,0,2.5,1.5,40,40,110,noband
ROSES,35754,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,50,43,16,70,0.8125,30,3.4,2400,56.8,39.8,0,2.5,0.8,30,40,103.125,noband
ROSES,35754,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,47,43,16,80,0.5625,30,9.1,2400,50.5,40.4,0,2.5,1.1,30,40,103.125,noband
COLORTILE,37572,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,35,48,16,76,0.8125,30,8.9,1900,49.5,41.6,0,2.5,1.2,30,40,103.22,noband
COLORTILE,37572,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,35,48,16,86,0.5625,30,16.1,1900,44.6,39.3,0,2.5,1.5,30,40,103.22,noband
TARGET,35814,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,2,SPIEGEL,CANADIAN,35,43,14,75,1.25,20,7.6,1823.359168,54.3,38,0,2.5,2,33,40,106.66,noband
TARGET,35814,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,9,SPIEGEL,CANADIAN,37.5,43,14,80,1.25,20,6.25,1823.359168,52.1,41.7,0,3,1.5,33,40,106.66,noband
BESTPROD,37822,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,40,44,15,68,0.75,30.907563,0,1750,58.8,41.2,0,2.7,0.7,35,40,103.125,noband
BESTPROD,37822,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter70,813,5,CATALOG,NorthUS,40,44,15.5,68,0.75,30.907563,5.6,1750,55.6,38.9,0,1.5,0.5,35,40,103.125,noband
TARGET,35816,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,2,SPIEGEL,CANADIAN,47.5,68,14,78,0.75,22,0,1900,62.5,37.5,0,2.1,1.7,33,40,103.125,band
ECKERD,35458,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,WoodHoe70,816,2,TABLOID,CANADIAN,40,60,15,78,1,28,0,2380,60,40,3,2.5,1,30,40,106.66,band
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter70,813,9,CATALOG,NorthUS,55,55,16.3,100,1,30.907563,0,1650,58.8,41.2,0,2.400938,0.987594,40,40,106.66,band
TARGET,35816,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,SPIEGEL,CANADIAN,40,55,15.5,92,0.75,22,9.6,1550,53.2,37.2,1,2.9,1.3,33,40,106.66,band
TARGET,35816,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,SPIEGEL,CANADIAN,40,52,16,86,0.75,26,9.6,1975,53.2,37.2,1,2.9,1.3,33,40,100,band
GUIDEPOSTS,23055,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,COVER,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,42.5,52,13.9,76,0.625,25,0,1800,50,50,0,2.5,0.9,40,40,106.66,band
TVGUIDE,25520,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,CANADIAN,50,56,15.2,76,0.625,25,3.4,1760,56.8,39.8,2,2.5,0.8,34,40,103.125,band
TVGUIDE,25520,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,45,57,14,76,0.75,20,3.4,1800,56.2,40.4,2,2,0.8,34,40,103.125,band
TOYSRUS,35982,NO,KEY,NO,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,2,TABLOID,CANADIAN,47,67,16,74,0.8125,38,0,1900,58.8,41.2,2,2.5,1.1,33,40,103.125,noband
TOYSRUS,35872,NO,KEY,NO,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,47,67,16,82,0.5625,30,1.5,1900,50.5,34.3,0,2.5,1.1,33,40,103.125,noband
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,5,CATALOG,NorthUS,50,52,17,69,0.75,30.907563,0,1700,58.8,41.2,0,2.2,0.9,40,40,106.66,noband
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Albert70,802,7,CATALOG,NorthUS,50,55,13.34,74,0.625,30.907563,4.8,1635,59.5,35.7,1,3,2,40,40,100,noband
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Albert70,802,2,CATALOG,NorthUS,50,55,13.86,70,0.625,47,10.2,1635,51,38.8,0,3,1,40,40,100,noband
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,50,52,15.6,71,0.75,30.907563,20.6,1700,46.7,32.7,0,2.5,0.6,40,40,106.66,noband
AMES,37168,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,TABLOID,CANADIAN,30,63,13,94,1,29,0,1800,56.2,43.8,0,2.5,1,30,40,110,band
WARDS,37333,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,TABLOID,CANADIAN,50,60,13.6,86,1.125,28,0,1500,64.1,35.9,0,2.5,1,33,40,106.45,band
TVGUIDE,25517,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,821,7,TABLOID,NorthUS,55,53,14.2,72,0.625,25,22.7,1750,45.5,31.8,1,2.4,0.9,34,40,103.125,band
WARDS,37333,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,WoodHoe70,815,2,TABLOID,CANADIAN,35,56,15.3,80,0.75,20,0,1900,76.9,23.1,0,2.5,1.25,33,40,106.66,band
HANHOUSE,37994,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,821,7,TABLOID,NorthUS,55,56,15,84,0.625,25,16.7,1850,52.1,31.3,4,2,0.6,34,40,103.125,band
TVGUIDE,25513,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,821,7,TABLOID,NorthUS,55,49,15,78,0.625,20,17.1,1900,47.6,35.2,0,2.5,0.85,34,40,106.45,band
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Albert70,802,2,CATALOG,NorthUS,50,50,15.7,90,0.75,50,0,1420,62.5,37.5,0,3,1.35,40,40,106.45,noband
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Albert70,802,7,CATALOG,NorthUS,50,50,15.5,74,0.75,58,4.8,1420,59.5,35.7,3,3,1,40,40,106.45,noband
TOYSRUS,35871,NO,KEY,NO,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,35,56,16,82,0.5625,28,5.6,2100,56.2,38.2,0,1.7,0.4,30,40,103.125,noband
TOYSRUS,35871,NO,KEY,NO,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,35,56,15,80,0.8125,40,8.6,2100,53.8,37.6,8,1.7,1,30,40,100,noband
AMES,37169,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,40,50,16,68,0.8125,30,0,2400,58.8,41.2,8,2.5,1.5,33,40,103.125,noband
AMES,47169,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,40,50,16,70,0.5625,30,0,2400,58.8,41.2,8,1.5,0.5,33,40,103.125,noband
KMART,32360,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,2,TABLOID,NorthUS,45.036082,59,14.2,80,1,20,5.6,1823.359168,55.6,38.9,0,2,2.5,33,40,106.45,noband
KMART,32360,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,NorthUS,37.5,59,16,75,0.75,20,4.3,1823.359168,54.3,41.3,0,2.5,1.5,33,40,106.45,noband
BESTPROD,37822,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,816,9,CATALOG,NorthUS,40,54,15.8,76,0.5,38,5.6,1736,55.6,38.9,0,2.5,1.5,35,40,103.125,noband
BESTPROD,37822,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COVER,NO,LINE,YES,WoodHoe70,816,2,CATALOG,NorthUS,40,54,15.4,78,0.5,34,5.7,1736,56.8,36.9,0,2.5,1.1,35,40,103.125,noband
HANHOUSE,37994,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,821,2,TABLOID,NorthUS,55,45,15.5,79,0.625,20,16.7,1850,54.3,34.3,4,2.5,1,34,40,100,noband
TVGUIDE,25519,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,821,7,TABLOID,NorthUS,52,64,15.5,82,0.625,30,0,1800,71.4,28.6,4,2.5,0.9,34,40,103.125,band
ECKERD,35458,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,WoodHoe70,816,9,TABLOID,CANADIAN,40,56,16.5,79,0.5,28,0,2300,60.2,39.8,0,2.5,1.5,30,40,106.45,band
ECKERD,35460,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,45,54,15.5,76,0.8125,30,5.6,2250,55.6,38.9,2,2.5,1.3,30,40,106.45,noband
KMART,37365,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,828,2,TABLOID,SCANDANAVIAN,47.5,68,16,80,0.75,30,0,2250,58.8,41.2,0,1.5,1,35,40,106.45,noband
KMART,37365,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,828,9,TABLOID,SCANDANAVIAN,47.5,68,16,80,0.75,30,0,2250,52.1,47.9,0,1.5,0.75,35,40,106.45,noband
ECKERD,35460,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,45,54,15.5,74,0.5625,40,10.5,2250,52.6,36.8,2,2.5,1.8,30,40,106.45,noband
KMART,37365,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,NO,Motter94,827,2,TABLOID,CANADIAN,37.5,70,14.9,64,0.75,28,3.4,1500,57.5,39.1,0,2.5,1,40,40,106.89,noband
KMART,37365,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,CANADIAN,37.5,70,15,65,0.75,25,5.4,1500,54.3,40.2,0,2.3,0.9,40,40,106.66,noband
WARDS,37338,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,47.5,60,14.5,74,0.8125,20,8.6,1600,53.8,37.6,0,2,1.5,35,40,110,noband
ROSES,37758,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,9,TABLOID,CANADIAN,40,62,16,84,0.9375,28,0,2200,58.8,41.2,4,2.5,0.6,30,40,106.45,noband
ROSES,35758,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,2,TABLOID,CANADIAN,40,62,16,84,0.9375,32,0,2200,58.8,41.2,4,1.4,1,30,40,106.45,noband
ECKERD,35458,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,816,9,TABLOID,CANADIAN,40,64,15.5,85,1,26,0,2400,58.8,41.2,0,2.5,1,30,40,103.125,noband
ECKERD,35458,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,816,2,TABLOID,CANADIAN,40,64,15,82,0.75,31,0,2400,60,40,3,2.5,1,30,40,106.66,noband
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Albert70,802,7,CATALOG,NorthUS,50,69,17,82,0.75,50,0,1700,62.5,37.5,0,3,1,40,40,106.45,band
WARDS,37338,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,9,TABLOID,CANADIAN,50,60,16,76,0.5625,28,5.6,1600,55.6,38.9,0,1,0.5,35,40,110,noband
HILLS,37915,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,TABLOID,NorthUS,50,62,15.4,98,0.75,25,10.6,1750,48.1,41.3,0,2.8,1.3,33,40,110,noband
HILLS,37915,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,9,TABLOID,NorthUS,50,62,14.9,96,0.75,26,11,1950,50,39,0,2.8,0.8,33,40,110,noband
MODMAT,47203,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,50,68,13.4,70,0.724333,30.907563,20.4,1700,46.3,33.3,0,2.5,1,40,40,106.45,band
KMART,37305,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,9,TABLOID,SCANDANAVIAN,35,68,15.1,90,0.875,30,6,1500,59.5,34.5,1,2.5,1,35,40,106.89,band
WARDS,37501,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,816,2,TABLOID,NorthUS,45.036082,56,16.02,84,0.25,30,5.3,2244,52.6,42.1,5,3,0.8,30,40,110,noband
WARDS,37501,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,816,9,TABLOID,NorthUS,32.5,56,15.03,79,0.3125,28,5.3,2244,52.6,42.1,0,1.8,0.5,30,40,106.45,noband
AMES,37177,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,2,TABLOID,CANADIAN,40,56,17,82,0.75,30,0,2550,52.6,47.4,0,2,1,33,40,103.22,noband
WARDS,37177,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,9,TABLOID,CANADIAN,30,56,17,72,0.75,30,0,2550,52.6,47.4,0,2,1,33,40,103.22,noband
WARDS,37501,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,TABLOID,CANADIAN,30,69,16,98,0.75,35,0,2050,62.5,37.5,0,2.75,1,33,40,100,noband
ROSES,35759,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,2,TABLOID,CANADIAN,45,69,15.6,72,0.75,21,5.6,2426,55.6,38.9,0,2.85,1.1,30,40,103.22,noband
ROSES,37579,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,CANADIAN,45,69,16.1,76,0.75,22,5.6,2426,55.6,38.9,0,2.7,0.7,30,40,103.22,noband
WARDS,37501,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,WoodHoe70,815,9,TABLOID,CANADIAN,32.5,69,15.5,94,0.75,30,0.5,2050,52.6,42.1,0,2.5,1,33,40,100,noband
WARDS,37502,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,2,TABLOID,CANADIAN,45.036082,66,15,82,0.8125,30,7,1900,58.1,34.9,5,2.5,0.9,30,40,103.125,band
MASSEY,37938,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,WoodHoe70,816,9,CATALOG,NorthUS,45,65,16.3,78,0.75,32,3.4,1700,56.8,39.8,4,2.5,1,34,40,106.45,band
SHEPLERS,35528,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,2,SPIEGEL,NorthUS,40,68,14,88,0.75,32,0,1742,60,40,3,2.5,1,40,40,103.125,band
WARDS,37199,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,40,64,16.5,82,0.5625,30,2.3,1900,57.5,40.2,0,1.3,0.8,30,40,106.45,band
CHILDCRAFT,37003,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,COVER,NO,LINE,YES,WoodHoe70,815,2,CATALOG,NorthUS,40,65,16.2,79,0.625,30,0,1500,62.5,37.5,4,2.5,1,38,40,106.45,band
HANOVERHOUSE,37990,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,50,66,16,87,1,30.907563,11.1,1530,55.6,33.3,0,2.5,1,34,40,100,band
KMART,37365,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,9,TABLOID,NorthUS,35,62,14.5,94,1,35,0,1900,63.3,36.7,0,2.5,1,35,40,106.89,band
ECKERD,35460,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,2,TABLOID,CANADIAN,40,62,16,80,0.8125,40,0,2250,62.5,37.5,0,2.5,0.7,30,40,110,band
KMART,37365,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,NorthUS,42.5,58,15,76,1,20,5.4,2000,54.3,40.2,0,2.5,1,35,40,103.33,band
MODMAT,47204,YES,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter70,813,9,CATALOG,NorthUS,50,64,18,64,1,30.907563,0,1300,62.5,37.5,0,3,1,40,40,106.45,band
MODMAT,47204,YES,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter70,813,10,CATALOG,NorthUS,50,64,16,86,0.75,30.907563,0,1300,58.8,41.1,0,2.5,1,40,40,106.45,band
MASSEY,37938,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,2,CATALOG,CANADIAN,60,66,14.5,85,0.25,30.907563,0,1823.359168,62.2,37.8,0,2.5,1,34,40,106.45,band
WARDS,37505,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,9,TABLOID,CANADIAN,40,64,15.4,88,0.5625,24,4.4,1835,55.5,40,2,2,1.3,30,40,106.45,noband
WARDS,37505,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,2,TABLOID,CANADIAN,40,64,16,76,0.8125,23,4.8,1835,59.5,35.7,3,2,0.7,30,40,106.45,noband
MODMAT,47103,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,9,CATALOG,NorthUS,47.5,63,16.4,84,0.5,27,20.7,1800,41.3,38,5,2.6,0.3,40,33,96.7,band
MODMAT,47103,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,XYLOL,YES,WoodHoe70,816,9,CATALOG,NorthUS,50,50,14.5,84,0.25,24,20.7,1500,41.3,38,0,3,0.6,40,33,103.3,band
MODMAT,47103,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,50,48,13,80,1,30.907563,18.9,1700,47.2,34,0,2.7,0.6,40,33,100,band
AUSTADS,34402,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,XYLOL,YES,WoodHoe70,815,9,CATALOG,NorthUS,52,54,16,82,0.875,22,15.8,900,49.5,34.7,0,2.5,1,50,40,96.7,band
TARGET,34545,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,827,2,SPIEGEL,CANADIAN,40,41,14,79,0.75,20,0,1530,61.7,38.3,5,3.1,1.8,33,33,96.9,noband
WARDS,36053,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,9,TABLOID,CANADIAN,45,42,15,76,0.75,30,0,2220,58.8,41.2,0,2.5,1,30,35,100,noband
WARDS,36053,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,TABLOID,CANADIAN,45,42,16,84,0.625,28,0,2220,54.3,45.7,0,2.5,1,30,35,100,noband
NATLWILDLIFE,36859,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Albert70,802,7,CATALOG,NorthUS,55,54,15,70,0.625,60,3.4,1600,56.8,39.8,0,1,0.4,45,40,103.3,noband
NATLWILDLIFE,36859,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,COVER,NO,LINE,NO,Albert70,802,2,CATALOG,NorthUS,57.5,54,15.5,80,0.625,55,0,1600,62.5,37.5,0,3,0.5,45,40,103.3,noband
MODMAT,47103,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter70,813,9,CATALOG,NorthUS,40,54,15.59,89,1,30.907563,1.2,1700,58.1,40.7,0,2.5,0.6,40,33,103.3,noband
ECKERD,34683,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,TABLOID,NorthUS,40,38,16,92,0.625,25,1.1,1900,53.8,45.2,0,2.5,1,30,33,100,noband
JAMESWAY,36648,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,1,CATALOG,CANADIAN,50,60,14,75,0.625,33,0,2000,65.2,34.8,0,0,0,35,40,96.9,band
BURDINES,34664,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,XYLOL,YES,WoodHoe70,816,9,TABLOID,NorthUS,45,49,16,72,0.375,38,15,1650,50,35,0,2.5,0.2,38,33,96.9,band
EXXON,36858,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,5,CATALOG,NorthUS,60,43,15,94,1,30.907563,9.5,1500,52.6,37.9,0,2.5,1,40,35,100,band
TVGUIDE,25416,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,821,7,TABLOID,NorthUS,47.5,41,18,74,0.5,30,17.7,1900,44.2,38.1,2,2.5,1,40,33,100,band
EXXON,36858,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Albert70,802,2,CATALOG,NorthUS,47.5,52,14.3,98,0.75,55,11.7,1600,53.2,35.1,0,3,1,40,33,100,band
TARGET,34546,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,816,9,SPIEGEL,CANADIAN,37.5,54,14.5,80,1,20,10.9,2400,54.3,34.8,0,2.5,0.4,30,40,103.3,noband
TARGET,34546,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,816,2,SPIEGEL,CANADIAN,52.5,54,14.6,82,0.724333,32,10.5,2400,52.6,36.8,0,2.5,0.5,30,40,100,noband
WARDS,36054,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,2,TABLOID,CANADIAN,45,55,15,75,0.75,25,0,2300,59.8,40.2,0,2,2.3,30,33,96.6,noband
TARGET,34545,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,NO,Motter94,827,9,TABLOID,CANADIAN,40,48,15,82,1,35,0,1720,59.3,40.7,0,1.5,1.5,32,33,100,noband
TARGET,34545,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,NO,Motter94,827,2,TABLOID,CANADIAN,40,48,15,75,1,30,0,1720,61.7,38.3,0,2.5,3,33,33,103.2,noband
MODMAT,47103,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Albert70,802,7,CATALOG,NorthUS,50,52,14,80,0.75,60,4.4,1700,54.9,40.7,0,2.5,1,40,33,100,band
